juris_id,case_citations
39,g.r. no. 173594
39,g.r. no. 171383
39,g.r. no. 184398
39,g.r. no. 149834
40,g.r. no. 147097
40,445 phil. 154
40,437 phil. 702
40,g.r. no. 139296
40,g.r. no. 189161
40,415 phil. 145
40,g.r. no. 166797
40,g.r. no. 171989
40,528 phil. 549
40,g.r. no. 180165
40,g.r. no. 177780
40,g.r. no. 174350
40,326 phil. 107
40,g.r. no. 164679
40,429 phil. 140
40,g.r. no. 169042
41,413 phil. 717
41,g.r. no. 102781
41,252 phil. 264
41,163 phil. 15
41,234 phil. 521
41,360 phil. 133
41,80 phil. 383
41,496 phil. 55
42,g.r. no. 171175
42,g.r. no. 129567
42,g.r. no. 152903
42,g.r. no. 118251
42,g.r. no. 172777
42,g.r. no. 80778
42,g.r. no. 141986
42,g.r. no. 182336
42,g.r. no. 128587
42,g.r. no. 157643
42,g.r. no. 161032
42,18 phil. 1
43,g.r. no. 131622
43,g.r. no. 149493
43,g.r. no. 54330
43,g.r. no. 163011
43,g.r. no. 156303
44,g.r. no. 120594
44,452 phil. 862
44,359 phil. 519
44,g.r. no. 160762
44,449 phil. 419
44,g.r. no. 154430
44,517 phil. 380
44,458 phil. 255
44,g.r. no. 172196
44,g.r. no. 176863
44,241 phil. 113
44,g.r. no. 166970
44,g.r. no. 152483
44,g.r. no. 171628
45,g.r. no. 154481
45,g.r. no. 36378
46,504 phil. 543
46,g.r. no. 196271
46,g.r. no. 161984
46,76 phil. 237
46,g.r. no. 191560
46,509 phil. 567
46,240 phil. 505
46,g.r. no. 112497
46,g.r. no. 196271
46,525 phil. 804
46,247 phil. 387
46,g.r. no. 196271
46,g.r. no. 115455
46,g.r. no. 107854
46,g.r. no. 115455
46,g.r. no. 196271
46,g.r. no. 196271
47,99 phil. 241
47,g.r. no. 168475
47,539 phil. 377
47,441 phil. 622
47,g.r. no. 179812
48,g.r. no. 169067
48,g.r. no. 175291
48,g.r. no. 143331
48,g.r. no. 142676
48,327 phil. 1019
48,358 phil. 214
48,327 phil. 1019
48,358 phil. 214
48,g.r. no. 178096
48,g.r. no. 156375
48,g.r. no. 184285
48,g.r. no. 145867
48,351 phil. 162
48,g.r. no. 141418
48,g.r. no. 175561
48,523 phil. 694
48,g.r. no. 102676
49,g.r. no. 113888
49,g.r. no. 169777
49,g.r. no. 187883
49,65 phil. 56
49,g.r. no. 180050
49,g.r. no. 171396
49,g.r. no. 125509
49,65 phil. 56
49,110 phil. 331
49,316 phil. 464
49,338 phil. 546
49,463 phil. 179
49,g.r. no. 166715
49,g.r. no. 112497
49,430 phil. 555
49,273 phil. 443
50,529 phil. 10
50,504 phil. 115
50,244 phil. 1
51,g.r. no. 131012
51,g.r. no. 135992
52,g.r. no. 190515
52,g.r. no. 165815
53,418 phil. 45
53,g.r. no. 134141
54,520 phil. 276
54,520 phil. 276
54,154 phil. 552
54,158 phil. 44
54,122 phil. 828
54,245 phil. 144
54,156 phil. 690
54,g.r. no. 157177
54,124 phil. 187
54,122 phil. 931
55,533 phil. 703
55,g.r. no. 185844
55,g.r. no. 183564
55,g.r. no. 176631
55,g.r. no 177144
55,g.r. no. 186496
55,g.r. no. 189821
55,446 phil. 745
55,439 phil. 440
55,g.r. no. 186235
55,g.r. no. 175836
55,g.r. no. 188560
55,g.r. no. 183455
56,g.r. no. 171209
56,g.r. no. 171209
56,g.r. no. 171209
56,g.r. no. 171209
56,525 phil. 436
56,409 phil. 450
56,498 phil. 276
56,g.r. no. 171209
56,511 phil. 162
56,322 phil. 387
56,439 phil. 149
56,g.r. no. 163551
56,403 phil. 721
56,359 phil. 242
56,41 phil. 935
56,75 phil. 890
57,g.r. no. 171386
57,g.r. no. 156421
57,g.r. no. 132537
57,g.r. no. 126322
57,g.r. no. 142406
57,g.r. no. 60323
57,g.r. no. 148568
57,g.r. no. 137675
57,g.r. no. 102692
57,g.r. no. 182729
58,533 phil. 703
58,g.r. no. 195239
58,g.r. no. 193188
58,g.r. no. 183563
58,g.r. no. 180499
58,387 phil. 82
59,218 phil. 224
59,g.r. no. 172933
59,g.r. no. 193679
59,g.r. no. 194677
60,229 phil. 279
60,106 phils. 732
60,249 phil. 267
60,11 so. 2
61,g.r. no. 147678
61,409 phil. 238
61,g.r. no. 186226
61,g.r. no. 178272
62,g.r. no. 140863
62,g.r. no. 111656
62,238 phil. 557
62,g.r. no. 165125
62,g.r. no. 164904
62,g.r. no. 180165
62,g.r. no. 143169
62,440 phil. 508
62,1 phil. 138
62,410 phil. 619
63,g.r. no. 176909
63,g.r. no. 170180
63,g.r. no. 113447
63,g.r. no. 132864
63,g.r. no. 179029
63,g.r. no. 175832
63,g.r. no. 172953
63,g.r. no. 164457
64,335 phil. 315
65,519 phil. 683
65,527 phil. 514
65,341 phil. 299
65,g.r. no. 116695
65,413 phil. 551
66,g.r. no. 106601
66,g.r. no. 96643
66,g.r. no. 177685
67,g.r. no. 55336
67,g.r. no. 84098
67,g.r. no. 88709
67,g.r. no. 159357
67,22 phil. 598
67,g.r. no. 150206
67,398 phil. 86
67,93 phil. 257
67,486 phil. 708
67,242 phil. 123
67,g.r. no. 103185
67,396 phil. 497
67,g.r. no. 50082
68,492 phil. 384
68,518 phil. 388
68,g.r. no. 171636
68,g.r. no. 147437
68,g.r. no. 175512
68,30 phil. 2
68,336 phil. 274
68,7 phil. 359
68,232 phil. 327
68,311 phil. 715
68,g.r. no. 102383
68,336 phil. 667
69,g.r. no. 172933
69,g.r. no. 152273
69,g.r. no. 177578
69,521 phil. 330
69,g.r. no. 181180
70,254 phil. 156
70,491 phil. 270
70,528 phil. 42
71,g.r. no. 167693
71,g.r. no. 147855
71,405 phil. 588
71,418 phil. 565
71,397 phil. 944
71,462 phil. 245
71,433 phil. 365
71,391 phil. 257
71,425 phil. 608
71,337 phil. 375
71,g.r. no. 124833
71,429 phil. 208
71,447 phil. 395
71,445 phil. 323
71,g.r. no. 185844
72,464 phil. 83
72,478 phil. 701
72,g.r. no. 166461
72,331 phil. 1070
72,g.r. no. 164631
72,376 phil. 252
72,515 phil. 467
72,464 phil. 83
72,g.r. no. 193415
72,g.r. no. 186730
72,g.r. no. 182291
72,g.r. no. 169903
72,g.r. no. 171941
72,g.r. no. 175175
73,g.r. no. 159912
74,370 phil. 323
74,471 phil. 690
74,463 phil. 715
74,434 phil. 206
74,501 phil. 675
74,g.r. no. 173477
74,402 phil. 616
75,g.r. no. 186979
75,g.r. no. 153034
75,g.r. no. 173128
75,g.r. no. 167415
75,g.r. no. 182984
75,g.r. no. 175514
76,g.r. no. 195239
76,344 phil. 561
76,g.r. no. 181497
76,g.r. no. 171349
76,g.r. no. 131847
77,371 phil. 435
77,60 phil. 861
77,g.r. no. 74886
77,g.r. no. 176841
77,g.r. no. 96160
77,462 phil. 779
77,130 phil. 741
77,352 phil. 797
78,g.r. no. 155109
78,g.r. no. 179220
78,g.r. no. 160302
78,g.r. no. 155109
78,g.r. no. 155109
78,g.r. no. 155109
78,g.r. no. 158786
78,g.r. no. 155109
78,g.r. no. 168501
78,g.r. no. 155109
78,g.r. no. 160302
78,315 phil. 698
78,247 phil. 641
78,480 phil. 534
78,387 phil. 96
78,g.r. no. 110396
78,g.r. no. 160058
78,g.r. no. 150437
78,g.r. no. 158075
78,401 phil. 776
78,g.r. no. 105775
79,g.r. no. 125299
79,214 p. 2
79,g.r. no. 101797
79,g.r. no. 172953
79,g.r. no. 182528
79,g.r. no. 182528
79,g.r. no. 175832
79,g.r. no. 164457
81,g.r. no. 185220
81,g.r. no. 182382
81,g.r. no. 168111
82,501 phil. 621
82,g.r. no. 161539
82,344 phil. 323
82,346 phil. 827
83,432 phil. 760
83,g.r. no. 160127
83,g.r. no. 128636
83,g.r. no. 97412
83,504 phil. 214
84,416 phil. 310
84,360 phil. 837
84,g.r. no. 164403
84,486 phil. 493
84,g.r. no. 176506
84,524 phil. 549
84,g.r. no. 159730
84,468 phil. 980
84,438 phil. 756
84,509 phil. 313
84,518 phil. 41
85,g.r. no. 171260
85,g.r. no. 171260
85,g.r. no. 181962
85,g.r. no. 171260
85,g.r. no. 171260
85,g.r. no. 162745
85,g.r. no. 171260
85,g.r. no. 158455
85,g.r. no. 185159
85,g.r. no. 108089
85,g.r. no. 114508
86,g.r. no. 159941
86,g.r. no. 145911
86,g.r. no. 129980
86,g.r. no. 141524
86,g.r. no. 131282
86,g.r. no. 170483
86,g.r. no. 138822
86,g.r. no. 137694
86,g.r. no. 164797
86,g.r. no. 158138
86,g.r. no. 145022
86,g.r. no. 133365
86,g.r. no. 162822
87,505 phil. 159
87,493 phil. 700
88,522 phil. 369
88,502 phil. 1
88,494 phil. 208
89,310 phil. 671
89,g.r. no. 186652
89,g.r. no. 92013
89,g.r. no. 172785
89,g.r. no. 168662
89,506 phil. 591
89,g.r. no. 183879
90,g.r. no. 175558
90,g.r. no. 155952
90,g.r. no. 196830
90,g.r. no. 163657
90,g.r. no. 167614
91,g.r. no. 147062
91,g.r. no. 154200
91,g.r. no. 155650
92,g.r. no. 167693
92,g.r. no. 176734
92,g.r. no. 184958
92,g.r. no. 176631
92,g.r. no. 129433
92,g.r. no. 130612
92,g.r. no. 153979
92,g.r. no. 137842
93,g.r. no. 190515
93,257 phil. 937
93,g.r. no. 164016
93,g.r. no. 164016
93,g.r. no. 174585
93,g.r. no. 191008
93,g.r. no. 155505
93,g.r. no. 178621
93,g.r. no. 165381
93,g.r. no. 188233
93,g.r. no. 114787
94,4079 cad. 299
94,3 jan. 1968
94,g.r. no. 115625
94,g.r. no. 68166
94,g.r. no. 155012
94,g.r. no. 164159
94,g.r. no. 156132
94,g.r. no. 160065
94,g.r. no. 126875
