source,citation
juris_21402,755 phil. 144
juris_21403,214 phil. 216
juris_21407,713 phil. 153
juris_21407,611 phil. 650
juris_21407,47 phil. 572
juris_21411,497 phil. 737
juris_21418,612 phil. 937
juris_21420,667 phil. 13
juris_21424,47 phil. 723
juris_21426,g.r. no. 80046
juris_21434,334 phil. 146
juris_21434,g.r. no. 211568
juris_21435,g.r. no. 26785
juris_21435,2593 phil. 182
juris_21450,g.r. no. 212504
juris_21457,g.r. no. 177676
juris_21457,g.r. no. 177676
juris_21463,111 phil. 141
juris_21468,235 phil. 135
juris_21476,g.r. no. 177275
juris_21477,61 phil. 499
juris_21485,177 phil. 713
juris_21489,g.r. no. 207983
juris_21493,g.r. no. 178510
juris_21493,g.r. no. 178510
juris_21493,g.r. no. 178510
juris_21493,g.r. no. 178510
juris_21496,g.r. no. 72954
juris_21498,326 phil. 521
juris_21513,236 phil. 292
juris_21518,g.r. no. 202705
juris_21526,67 phil. 341
juris_21527,72 phil. 278
juris_21534,g.r. no. 192988
juris_21540,1 phil. 399
juris_21542,g.r. no. 201918
juris_21545,508 phil. 633
juris_21548,581 phil. 234
juris_21548,314 phil. 474
juris_21548,314 phil. 474
juris_21548,581 phil. 234
juris_21554,269 phil. 794
juris_21563,69 phil. 137
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21565,g.r. no. 205921
juris_21569,g.r. no. 207297
juris_21569,g.r. no. 208717
juris_21579,701 phil. 236
juris_21580,359 phil. 243
juris_21583,g.r. no. 205840
juris_21583,g.r. no. 205840
juris_21589,553 phil. 540
juris_21607,g.r. no. 209917
juris_21607,g.r. no. 209731
juris_21607,g.r. no. 209696
juris_21607,g.r. no. 209731
juris_21615,697 phil. 376
juris_21622,589 phil. 156
juris_21626,395 phil. 980
juris_21627,80 phil. 833
juris_21641,565 phil. 126
juris_21646,g.r. no. 168357
juris_21659,g.r. no. 178115
juris_21692,635 phil. 353
juris_21698,556 phil. 367
juris_21701,513 phil. 533
juris_21705,g.r. no. 223032
juris_21705,g.r. no. 223032
juris_21705,g.r. no. 223032
juris_21705,g.r. no. 223032
juris_21713,g.r. no. 144507
juris_21717,698 phil. 833
juris_21731,105 phil. 1326
juris_21732,646 phil. 175
juris_21734,g.r. no. 212173
juris_21738,378 phil. 266
juris_21738,g.r. no. 206323
juris_21739,g.r. no. 1727070
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21743,g.r. no. 173170
juris_21754,736 phil. 736
juris_21754,384 phil. 677
juris_21759,619 phil. 203
juris_21760,395 phil. 353
juris_21767,589 phil. 463
juris_21784,726 phil. 367
juris_21784,284 phil. 114
juris_21795,g.r. no. 46658
juris_21810,674 phil. 565
juris_21811,659 phil. 146
juris_21814,g.r. no. 175898
juris_21814,g.r. no. 175898
juris_21814,g.r. no. 178082
juris_21814,g.r. no. 175898
juris_21820,356 phil. 435
juris_21821,293 ky. 201
juris_21822,g.r. no. 209118
juris_21823,361 phil. 528
juris_21827,7 pp. 341
juris_21848,518 phil. 698
juris_21849,521 phil. 74
juris_21851,650 phil. 174
juris_21853,40 phil. 210
juris_21853,40 phil. 210
juris_21853,40 phil. 210
juris_21872,711 phil. 576
juris_21876,340 phil. 660
juris_21876,67 phil. 811
juris_21878,543 phil. 731
juris_21880,646 phil. 221
juris_21887,g.r. no. 52655
juris_21891,g.r. no. 215557
juris_21903,652 phil. 612
juris_21903,g.r. no. 215567
juris_21905,46 phil. 280
juris_21907,204 phil. 109
juris_21910,g.r. no. 202630
juris_21913,g.r. no. 103254
juris_21914,501 phil. 479
juris_21922,72 phil. 278
juris_21923,705 phil. 570
juris_21923,547 phil. 573
juris_21928,555 phil. 157
juris_21933,311 phil. 469
juris_21935,476 phil. 513
juris_21935,611 phil. 208
juris_21941,g.r. no. 173952
juris_21948,g.r. no. 46898
juris_21949,910 so. 2
juris_21958,g.r. no. 40399
juris_21958,g.r. no. 45947
juris_21964,g.r. no. 215106
juris_21974,691 phil. 758
juris_21974,g.r. no. 201450
juris_21974,g.r. no. 212173
juris_21975,g.r. no. 214021
juris_21975,g.r. no. 214021
juris_21975,g.r. no. 214021
juris_21975,g.r. no. 214021
juris_21975,g.r. no. 214021
juris_21979,703 phii. 148
juris_21983,352 phil. 172
juris_21986,68 phil. 236
juris_21986,568 phil. 744
juris_21988,g.r. no. 193685
juris_21988,g.r. no. 193685
juris_21988,g.r. no. 193685
juris_21991,611 phil. 331
juris_22005,g.r. no. 350154
juris_22032,g.r. no. 182090
juris_22032,g.r. no. 182090
juris_22032,g.r. no. 182090
juris_22032,g.r. no. 182090
juris_22034,g.r. no. 170334
juris_22041,g.r. no. 189447
juris_22041,g.r. no. 189447
juris_22041,g.r. no. 189447
juris_22041,g.r. no. 189447
juris_22041,g.r. no. 189447
juris_22041,g.r. no. 189447
juris_22041,g.r. no. 189447
juris_22053,711 phil. 576
juris_22054,g.r. no. 62252
juris_22059,g.r. no. 183694
juris_22063,g.r. no. 220380
juris_22065,2005 p. 3
juris_22070,571 phil. 344
juris_22073,g.r. no. 43886
juris_22076,11 phil. 176
juris_22084,g.r. no. 147688
juris_22084,g.r. no. 78631
juris_22085,g.r. no. 183253
juris_22090,371 phil. 243
juris_22095,353 phil. 115
juris_22099,652 phil. 512
juris_22105,691 phil. 244
juris_22109,14 dec. 2005
juris_22109,14 dec. 2005
juris_22109,14 dec. 2005
juris_22109,14 dec. 2005
juris_22109,14 dec. 2005
juris_22111,g.r. no. 215289
juris_22112,257 p. 465
juris_22121,g.r. no. 223269
juris_22123,g.r. no. 201871
juris_22123,g.r. no. 209369
juris_22123,g.r. no. 209369
juris_22123,g.r. no. 209369
juris_22125,g.r. no. 17620
juris_22125,g.r. no. 176205
juris_22125,g.r. no. 176205
juris_22125,g.r. no. 176205
juris_22125,g.r. no. 176074
juris_22125,g.r. no. 176275
juris_22125,g.r. no. 176074
juris_22125,g.r. no. 176205
juris_22125,g.r. no. 176074
juris_22125,g.r. no. 176205
juris_22125,g.r. no. 176205
juris_22125,g.r. no. 176074
juris_22135,g.r. no. 214070
juris_22135,g.r. no. 214070
juris_22136,2007 pp. 3
juris_22139,g.r. no. 221866
juris_22139,g.r. no. 221866
juris_22141,g.r. no. 173194
juris_22141,g.r. no. 173194
juris_22147,g.r. no. 173770
juris_22147,g.r. no. 75109
juris_22147,g.r. no. 187015
juris_22161,g.r. no. 209073
juris_22173,490 phil. 220
juris_22174,g.r. no. 212989
juris_22174,g.r. no. 212989
juris_22174,617 phil. 852
juris_22178,326 phil. 160
juris_22186,g.r. no. 209253
juris_22186,g.r. no. 209253
juris_22186,g.r. no. 209253
juris_22186,g.r. no. 209253
juris_22186,g.r. no. 209253
juris_22191,g.r. no. 207164
juris_22191,g.r. no. 207164
juris_22191,g.r. no. 207144
juris_22192,633 phil. 665
juris_22194,g.r. no. 211678
juris_22197,g.r. no. 164352
juris_22197,g.r. no. 164352
juris_22197,g.r. no. 164352
juris_22197,g.r. no. 164352
juris_22197,g.r. no. 164352
juris_22197,g.r. no. 164352
juris_22197,g.r. no. 164352
juris_22198,g.r. no. 211329
juris_22212,652 phil. 512
juris_22215,665 phil. 750
juris_22220,g.r. no. 189877
juris_22220,g.r. no. 189877
juris_22225,g.r. no. 137595
juris_22227,642 phil. 737
juris_22230,552 phil. 633
juris_22238,g.r. no. 215726
juris_22238,g.r. no. 216158
juris_22238,g.r. no. 215726
juris_22238,g.r. no. 215726
juris_22238,g.r. no. 216158
juris_22252,g.r. no. 194556
juris_22253,316 phil. 136
juris_22261,g.r. no. 40145
juris_22264,g.r. no. 214756
juris_22272,g.r. no. 220503
juris_22274,g.r. no. 198841
juris_22274,g.r. no. 198841
juris_22274,g.r. no. 198841
juris_22292,177 wis. 394
juris_22301,2008 pp. 5
juris_22302,101 phil. 1205
juris_22302,321 phil. 965
juris_22308,g.r. no. 106496
juris_22311,523 phil. 695
juris_22318,696 phil. 776
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22319,g.r. no. 186059
juris_22321,g.r. no. 195934
juris_22321,g.r. no. 191726
juris_22321,g.r. no. 212173
juris_22326,650 phil. 174
juris_22328,665 phil. 750
juris_22329,g.r. no. 200954
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22330,g.r. no. 215008
juris_22337,40 phil. 210
juris_22337,40 phil. 210
juris_22338,30 sep. 2013
juris_22345,581 phil. 160
juris_22345,g.r. no. 190745
juris_22345,g.r. no. 183262
juris_22346,707 phil. 173
juris_22348,724 phil. 453
juris_22351,g.r. no. 213835
juris_22353,581 phil. 488
juris_22355,611 phil. 613
juris_22358,671 phil. 244
juris_22361,703 phil. 311
juris_22364,536 phil. 897
juris_22371,134 phil. 353
juris_22374,677 phii. 608
juris_22377,1 phil. 972
juris_22377,g.r. no. 41314
juris_22381,674 phil. 509
juris_22382,g.r. no. 187334
juris_22382,g.r. no. 187334
juris_22397,g.r. no. 202125
juris_22402,3 swans. 604
juris_22403,540 phil. 503
juris_22411,g.r. no. 221466
juris_22415,303 phil. 106
juris_22428,711 phil. 530
juris_22430,353 phil. 320
juris_22435,79 phil. 36
juris_22435,128 phil. 160
juris_22440,89 phil. 756
juris_22443,g.r. no. 30712
juris_22448,g.r. no. 212794
juris_22448,g.r. no. 212794
juris_22448,g.r. no. 218744
juris_22458,g.r. no. 1731188
juris_22458,g.r. no. 187888
juris_22458,g.r. no. 188888
juris_22461,g.r. no. 160897
juris_22461,g.r. no. 160897
juris_22461,g.r. no. 160897
juris_22461,g.r. no. 91741
juris_22465,589 phil. 156
juris_22471,686 phil. 1125
juris_22473,711 phil. 577
juris_22473,705 phil. 154
juris_22474,722 phil. 526
juris_22476,g.r. no. 139856
juris_22476,2327 phil. 780
juris_22493,11 phil. 493
juris_22494,g.r. no. 207983
juris_22497,6 phil. 1095
juris_22509,340 phil. 570
juris_22514,520 phil. 538
juris_22516,316 mass. 383
juris_22516,225 md. 422
juris_22516,767 a.2
juris_22543,g.r. no. 97959
juris_22556,65 phil. 261
juris_22556,58 phil. 489
juris_22569,35 phil. 205
juris_22570,11 par. 13
juris_22577,g.r. no. 96715
juris_22577,g.r. no. 96715
juris_22577,g.r. no. 96715
juris_22582,g.r. no. 59606
juris_22588,24 phil. 358
juris_22600,81 phil. 429
juris_22605,g.r. no. 43602
juris_22607,99 phil. 1045
juris_22617,g.r. no. 85597
juris_22617,g.r. no. 85597
juris_22617,g.r. no. 85597
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85621
juris_22617,g.r. no. 85597
juris_22617,g.r. no. 85621
juris_22617,g.r. no. 85597
juris_22617,g.r. no. 85597
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 85594
juris_22617,g.r. no. 77916
juris_22617,g.r. no. 85597
juris_22617,"102 phil.
 110"
juris_22635,g.r. no. 33628
juris_22635,g.r. no. 34162
juris_22638,21 jan. 1985
juris_22642,g.r. no. 72594
juris_22655,g.r. no. 37834
juris_22665,"141 f.
225"
juris_22674,2208 no. 1
juris_22674,"18 phil.
345"
juris_22674,95 phil. 925
juris_22684,g.r. no. 32266
juris_22684,g.r. no. 31688
juris_22684,g.r. no. 58867
juris_22751,g.r. no. 92560
juris_22754,g.r. no. 49410
juris_22754,51 phil. 552
juris_22770,g.r. no. 67201
juris_22776,"97
phil. 143"
juris_22780,g.r. no. 27940
juris_22780,g.r. no. 27940
juris_22780,g.r. no. 27754
juris_22795,98 phil. 442
juris_22796,72 phil. 278
juris_22796,g.r. no. 82152
juris_22796,134 phii. 912
juris_22797,g.r. no. 105939
juris_22797,g.r. no. 58575
juris_22804,g.r. no. 50836
juris_22804,g.r. no. 39300
juris_22810,g.r. no. 52415
juris_22815,g.r. no. 73146
juris_22833,g.r. no. 55513
juris_22833,g.r. no. 55513
juris_22833,g.r. no. 55513
juris_22844,g.r. no. 56385
juris_22858,g.r. no. 81383
juris_22887,g.r. no. 76826
juris_22911,25 phil. 591
juris_22912,110 phil. 683
juris_22915,41 phil. 289
juris_22927,g.r. no. 61236
juris_22935,45 phil. 540
juris_22946,g.r. no. 34767
juris_22956,15 oct. 1985
juris_22967,g.r. no. 57738
juris_22975,g.r. no. 86360
juris_22980,g.r. no. 63912
juris_22994,102 phil. 869
juris_23003,g.r. no. 63581
juris_23016,36 conn. 182
juris_23020,g.r. no. 71375
juris_23023,46 miss. 449
juris_23042,74 phil. 666
juris_23043,"53 phil.
960"
juris_23052,g.r. no. 34213
juris_23052,g.r. no. 34213
juris_23052,87 phil. 375
juris_23058,g.r. no. 56761
juris_23058,g.r. no. 58187
juris_23078,22 conn. 213
juris_23078,134 misc. 18
juris_23091,"16 phil.
315"
juris_23097,23 phil. 643
juris_23104,g.r. no. 89514
juris_23110,"49
phil. 894"
juris_23112,34 n. 567
juris_23112,34 n. 163
juris_23120,g.r. no. 97108
juris_23120,8 vol. 1
juris_23126,g.r. no. 90562
juris_23129,g.r. no. 69276
juris_23139,g.r. no. 65152
juris_23145,g.r. no. 44822
juris_23152,g.r. no. 104943
juris_23152,g.r. no. 34644
juris_23153,g.r. no. 77702
juris_23153,g.r. no. 77702
juris_23153,g.r. no. 73206
juris_23185,1984 pp. 4
juris_23189,79 phil. 578
juris_23190,76 phil. 428
juris_23203,25 okla.372
juris_23203,20 cal. 96
juris_23204,g.r. no. 39492
juris_23205,194 a.45
juris_23212,11 phil. 669
juris_23212,74 phil. 247
juris_23220,56 phil. 397
juris_23220,g.r. no. 71872
juris_23220,56 phil. 397
juris_23220,90 phil. 858
juris_23222,87 kan. 864
juris_23234,g.r. no. 62119
juris_23236,117 f. 2
juris_23284,65 phil. 367
juris_23305,g.r. no. 100109
juris_23319,g.r. no. 79975
juris_23374,78 phil. 377
juris_23378,g.r. no. 58928
juris_23408,"43 phil.
823"
juris_23408,"69
phil. 611"
juris_23408,g.r. no. 97332
juris_23410,g.r. no. 105368
juris_23410,g.r. no. 105368
juris_23410,g.r. no. 105368
juris_23410,g.r. no. 105368
juris_23410,g.r. no. 73146
juris_23412,g.r. no. 68302
juris_23448,g.r. no. 63393
juris_23450,"97
phil. 806"
juris_23455,g.r. no. 50350
juris_23455,28 a.220
juris_23455,105 a.291
juris_23458,278 so. 2
juris_23458,4 so. 2
juris_23459,g.r. no. 28135
juris_23462,g.r. no. 48926
juris_23480,g.r. no. 89323
juris_23480,g.r. no. 89323
juris_23486,g.r. no. 81928
juris_23491,g.r. no. 47911
juris_23525,g.r. no. 66327
juris_23525,g.r. no. 74053
juris_23531,g.r. no. 45985
juris_23531,g.r. no. 45985
juris_23537,g.r. no. 63452
juris_23542,135 so. 280
juris_23549,39 phil. 736
juris_23550,"100
phil. 713"
juris_23550,"100
phil. 765"
juris_23550,"105 phil.
281"
juris_23550,"86
phil. 219"
juris_23563,138 la.598
juris_23575,"63 phil.
 293"
juris_23609,50 phil. 679
juris_23630,g.r. no. 74515
juris_23632,42 phil. 935
juris_23636,g.r. no. 78898
juris_23636,g.r. no. 78898
juris_23636,g.r. no. 78898
juris_23636,g.r. no. 78898
juris_23636,g.r. no. 78898
juris_23641,g.r. no. 63216
juris_23659,g.r. no. 77143
juris_23669,64 phil. 1062
juris_23691,g.r. no. 90063
juris_23691,g.r. no. 62270
juris_23702,31 phil. 593
juris_23706,"74
phil. 47"
juris_23713,85 phil. 632
juris_23715,9 dec. 1970
juris_23721,g.r. no. 74515
juris_23739,g.r. no. 83779
juris_23739,g.r. no. 83779
juris_23739,g.r. no. 83779
juris_23751,g.r. no. 63677
juris_23751,g.r. no. 55532
juris_23752,24 phil. 256
juris_23752,74 sct. 650
juris_23752,9 sct. 231
juris_23752,32 sct. 286
juris_23752,92 wash. 431
juris_23757,g.r. no. 104667
juris_23770,g.r. no. 74515
juris_23773,88 phil. 403
juris_23776,g.r. no. 53506
juris_23776,42 phil. 129
juris_23782,"50
phil. 867"
juris_23801,198 a. 812
juris_23807,1 phil. 78
juris_23807,101 phil. 147
juris_23811,g.r. no. 57738
juris_23820,"66
phil. 467"
juris_23850,g.r. no. 80578
juris_23853,2 p. 3
juris_23856,30 phil. 257
juris_23856,30 phil. 275
juris_23868,g.r. no. 43835
juris_23870,75 phil. 811
juris_23876,g.r. no. 25877
juris_23885,222 wy. 88
juris_23891,"81 phil. 
637"
juris_23891,"37 phil. 
731"
juris_23891,67 phil. 190
juris_23891,"15 phil. 
85"
juris_23892,g.r. no. 114896
juris_23904,g.r. no. 47422
juris_23918,102 phil. 1182
juris_23926,g.r. no. 46244
juris_23932,39 phi. 175
juris_23943,188 p. 410
juris_23945,g.r. no. 30488
juris_23965,g.r. no. 82932
juris_23971,g.r. no. 86468
juris_23977,g.r. no. 56968
juris_23978,g.r. no. 721074
juris_23980,104 phil. 1065
juris_23989,g.r. no. 86053
juris_23989,g.r. no. 80653
juris_23993,g.r. no. 51654
juris_23998,g.r. no. 24566
juris_24016,77 phil. 1090
juris_24016,g.r. no. 47471
juris_24016,"27 phil. 
530"
juris_24016,2 phil. 176
juris_24016,77 phil. 579
juris_24018,58 phil. 330
juris_24032,68 phil. 24
juris_24039,"17
phil. 295"
juris_24040,"110
phil. 565"
juris_24055,104 phil. 1026
juris_24059,g.r. no. 64164
juris_24063,g.r. no. 81453
juris_24068,g.r. no. 89978
juris_24068,g.r. no. 89978
juris_24068,g.r. no. 89978
juris_24086,g.r. no. 56025
juris_24086,g.r. no. 60188
juris_24112,15 phil. 212
juris_24112,49 no. 11
juris_24114,"106
phil. 1003"
juris_24122,g.r. no. 85496
juris_24122,g.r. no. 85496
juris_24122,g.r. no. 85496
juris_24122,g.r. no. 85496
juris_24122,g.r. no. 85496
juris_24122,76 phil. 445
juris_24130,"33
phil. 8"
juris_24132,g.r. no. 65235
juris_24145,2 sec. 3
juris_24152,20 f. 2
juris_24176,g.r. no. 49833
juris_24179,"21 phil.
161"
juris_24179,99 phil. 1068
juris_24191,g.r. no. 97942
juris_24207,40 og. 7
juris_24214,"108
phil. 486"
juris_24220,164 a.260
juris_24220,125 f. 2
juris_24220,397 so. 2
juris_24222,g.r. no. 87445
juris_24230,g.r. no. 51773
juris_24239,g.r. no. 88664
juris_24239,g.r. no. 87248
juris_24239,g.r. no. 88664
juris_24239,g.r. no. 88664
juris_24239,g.r. no. 88664
juris_24244,"66
phil. 615"
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,g.r. no. 92943
juris_24245,20 dec. 1989
juris_24246,19 phil. 114
juris_24275,"102 phil.
1"
juris_24280,g.r. no. 59298
juris_24287,g.r. no. 48067
juris_24292,g.r. no. 60592
juris_24331,76 phil. 463
juris_24346,g.r. no. 46132
juris_24348,56 phil. 647
juris_24349,g.r. no. 39695
juris_24385,193 art. 473
juris_24403,g.r. no. 56112
juris_24416,10 phil. 836
juris_24430,97 phil. 379
juris_24431,g.r. no. 59762
juris_24431,g.r. no. 65298
juris_24436,6 phil. 216
juris_24447,75 so. 2
juris_24447,57 so. 806
juris_24450,49 phil. 437
juris_24450,g.r. no. 56113
juris_24453,215 cal. 296
juris_24475,14 sec. 17
juris_24488,g.r. no. 54151
juris_24488,g.r. no. 58309
juris_24492,133 f. 2
juris_24543,"99 phil. 
709"
juris_24543,149 p. 1074
juris_24543,"60 phil. 
614"
juris_24574,g.r. no. 52390
juris_24578,100 phil. 198
juris_24582,17 feb. 1954
juris_24596,g.r. no. 93685
juris_24607,"52
phil. 940"
juris_24612,g.r. no. 67180
juris_24616,"64 phil. 
423"
juris_24622,g.r. no. 91223
juris_24625,g.r. no. 48310
juris_24629,g.r. no. 83256
juris_24646,g.r. no. 98452
juris_24646,g.r. no. 101734
juris_24655,35 phil. 809
juris_24655,262 so. 2
juris_24655,289 so. 2
juris_24656,105 phil. 1349
juris_24662,29 phil. 14
juris_24687,g.r. no. 58532
juris_24695,g.r. no. 55285
juris_24697,g.r. no. 10160
juris_24697,g.r. no. 10160
juris_24697,"72 phil.
285"
juris_24700,"69
phil. 485"
juris_24709,g.r. no. 51839
juris_24719,g.r. no. 51770
juris_24719,g.r. no. 62871
juris_24723,"53
phil. 363"
juris_24727,g.r. no. 78994
juris_24731,80 phil. 771
juris_24739,73 phil. 117
juris_24753,105 phil. 1151
juris_24761,109 phil. 309
juris_24762,126 okla.86
juris_24778,g.r. no. 44414
juris_24790,g.r. no. 111223
juris_24793,g.r. no. 59762
juris_24798,105 so. 386
juris_24798,"82 phil.
453"
juris_24815,100 phil. 1951
juris_24816,g.r. no. 80041
juris_24816,g.r. no. 80041
juris_24816,g.r. no. 80041
juris_24816,g.r. no. 80041
juris_24817,"108
phil. 510"
juris_24840,100 f. 2
juris_24867,"107
phil. 891"
juris_24869,g.r. no. 93288
juris_24869,29 phil. 120
juris_24885,g.r. no. 68086
juris_24886,g.r. no. 88004
juris_24886,g.r. no. 88004
juris_24886,g.r. no. 88004
juris_24886,"52
phil. 47"
juris_24891,g.r. no. 61423
juris_24891,g.r. no. 63479
juris_24891,g.r. no. 63479
juris_24891,g.r. no. 63479
juris_24891,g.r. no. 30716
juris_24891,g.r. no. 63479
juris_24891,g.r. no. 63479
juris_24895,"84
phil. 368"
juris_24899,115 phil. 664
juris_24907,g.r. no. 57058
juris_24907,"60
phil. 37"
juris_24910,g.r. no. 51997
juris_24910,g.r. no. 51997
juris_24913,50 phil. 621
juris_24915,"18 phil.
206"
juris_24917,313 phil. 363
juris_24930,g.r. no. 38413
juris_24930,g.r. no. 60665
juris_24933,g.r. no. 70295
juris_24933,g.r. no. 70295
juris_24952,g.r. no. 22632
juris_24952,g.r. no. 22632
juris_24955,"105 phil.
277"
juris_24964,g.r. no. 70880
juris_24971,g.r. no. 43527
juris_24971,"81
phil. 238"
juris_24972,29 pac. 855
juris_24972,170 fed. 737
juris_24975,g.r. no. 82986
juris_24975,g.r. no. 82986
juris_24975,g.r. no. 82986
juris_24975,g.r. no. 82986
juris_24975,g.r. no. 82986
juris_24976,g.r. no. 56856
juris_24978,101 phil. 857
juris_24992,100 phil. 278
juris_24992,56 phil. 711
juris_24993,19 avi. 17
juris_25001,104 phil. 749
juris_25001,191 a.121
juris_25001,1 misc. 2
juris_25004,87 a.40
juris_25008,g.r. no. 59378
juris_25026,52 phil. 862
juris_25034,22 sept. 1939
juris_25039,g.r. no. 81998
juris_25039,g.r. no. 86547
juris_25060,g.r. no. 96748
juris_25075,"31
f. 2"
juris_25114,g.r. no. 52118
juris_25114,"29 phil.
31"
juris_25117,"100 phil.
251"
juris_25134,g.r. no. 95245
juris_25145,g.r. no. 84435
juris_25150,"24 phil.
315"
juris_25150,24 a.2
juris_25168,82 phil. 450
juris_25190,"74
phil. 719"
juris_25195,g.r. no. 46833
juris_25198,g.r. no. 82735
juris_25198,47 og. 3494
juris_25198,38 phil. 658
juris_25206,92 phil. 1069
juris_25214,g.r. no. 44642
juris_25222,g.r. no. 46956
juris_25222,"41
phil. 62"
juris_25224,g.r. no. 92965
juris_25236,"81
phil. 30"
juris_25245,99 phil. 1034
juris_25248,g.r. no. 47766
juris_25268,41 phil. 935
juris_25275,g.r. no. 25469
juris_25275,"82 phil. 
780"
juris_25281,g.r. no. 62281
juris_25283,g.r. no. 55628
juris_25313,g.r. no. 50352
juris_25322,g.r. no. 87656
juris_25322,41 pac. 1075
juris_25322,41 pac. 1071
juris_25332,2 phil. 196
juris_25336,g.r. no. 86360
juris_25342,83 phil. 359
juris_25357,g.r. no. 79887
juris_25361,"94
phil. 26"
juris_25365,g.r. no. 103753
juris_25365,"102
phil. 735"
juris_25365,g.r. no. 46845
juris_25365,g.r. no. 97371
juris_25378,g.r. no. 62243
juris_25387,g.r. no. 61176
juris_25396,g.r. no. 70945
juris_25404,105 phil. 3007
juris_25425,g.r. no. 103106
juris_25425,g.r. no. 103106
juris_25425,g.r. no. 103106
juris_25425,g.r. no. 103106
juris_25450,g.r. no. 60833
juris_25453,g.r. no. 107469
juris_25456,"356
a.2"
juris_25456,g.r. no. 41337
juris_25484,77 phil. 191
juris_25490,g.r. no. 105128
juris_25490,g.r. no. 87233
juris_25501,244 no. 329
juris_25520,g.r. no. 57718
juris_25526,"93 phil.
257"
juris_25531,g.r. no. 71784
juris_25531,g.r. no. 71784
juris_25531,g.r. no. 71784
juris_25533,69 phil. 497
juris_25552,g.r. no. 47628
juris_25581,g.r. no. 75524
juris_25581,g.r. no. 75524
juris_25581,g.r. no. 75524
juris_25585,g.r. no. 47422
juris_25605,g.r. no. 63550
juris_25609,103 phil. 1136
juris_25620,g.r. no. 73146
juris_25620,g.r. no. 50340
juris_25620,g.r. no. 58867
juris_25649,23 phil. 587
juris_25649,81 phil. 192
juris_25651,102 phil. 557
juris_25662,g.r. no. 75135
juris_25665,58 phil. 546
juris_25668,1986 pp. 795
juris_25668,1979 pp. 9
juris_25674,g.r. no. 50151
juris_25675,g.r. no. 39196
juris_25675,g.r. no. 39196
juris_25676,g.r. no. 100777
juris_25676,g.r. no. 100777
juris_25676,g.r. no. 91379
juris_25676,g.r. no. 76779
juris_25676,g.r. no. 100777
juris_25676,g.r. no. 100777
juris_25676,g.r. no. 100777
juris_25676,g.r. no. 100777
juris_25676,g.r. no. 100777
juris_25676,"55 phil.
586"
juris_25676,g.r. no. 72255
juris_25702,g.r. no. 80278
juris_25702,g.r. no. 80278
juris_25706,"3 phil.
472"
juris_25713,64 phil. 667
juris_25718,g.r. no. 105913
juris_25718,g.r. no. 105591
juris_25722,"32
phil. 344"
juris_25727,g.r. no. 70825
juris_25731,104 phil. 116
juris_25732,92 phil. 453
juris_25746,74 phil. 492
juris_25749,200 ark. 983
juris_25749,g.r. no. 196719
juris_25751,1959 ed. 20
juris_25754,g.r. no. 78431
juris_25754,g.r. no. 78431
juris_25754,g.r. no. 78431
juris_25754,g.r. no. 78431
juris_25760,12 phil. 691
juris_25762,g.r. no. 32864
juris_25765,21 phil. 311
juris_25765,21 phil. 311
juris_25776,g.r. no. 55868
juris_25829,g.r. no. 58877
juris_25831,g.r. no. 47628
juris_25831,g.r. no. 34807
juris_25840,g.r. no. 99529
juris_25854,g.r. no. 27597
juris_25854,g.r. no. 52260
juris_25895,3 pet. 193
juris_25895,"39 phil.
778"
juris_25906,g.r. no. 83373
juris_25913,g.r. no. 71813
juris_25915,g.r. no. 54151
juris_25915,g.r. no. 58309
juris_25932,482 f. 2
juris_25943,112 phil. 987
juris_25944,95 id. 215
juris_25949,"18
phil. 484"
juris_25949,"5
phil. 742"
juris_25960,74 phil. 219
juris_25978,"45 phil.
256"
juris_25980,g.r. no. 92439
juris_25980,g.r. no. 92439
juris_25980,g.r. no. 92439
